Statistic,Name,Team,#,Top 25,Year,League
Statistic,Name,Team,#,Top 25,2024,AL
Base on Balls,Aaron Judge,New York,133,Top 25,2024,AL
Batting Average,Bobby Witt Jr.,Kansas City,.332,Top 25,2024,AL
Doubles,Jarren Duran,Boston,48,Top 25,2024,AL
Hits,Bobby Witt Jr.,Kansas City,211,Top 25,2024,AL
Home Runs,Aaron Judge,New York,58,Top 25,2024,AL
On Base Percentage,Aaron Judge,New York,.458,Top 25,2024,AL
RBI,Aaron Judge,New York,144,Top 25,2024,AL
Runs,Juan Soto,New York,128,Top 25,2024,AL
Slugging Average,Aaron Judge,New York,.701,Top 25,2024,AL
Stolen Bases,Jose Caballero,Tampa Bay,44,Top 25,2024,AL
Total Bases,Aaron Judge,New York,392,Top 25,2024,AL
Triples,Jarren Duran,Boston,14,Top 25,2024,AL
Statistic,Name,Team,#,Top 25,2024,AL
