Statistic,Name,Team,#,Top 25,Year,League
Statistic,Name,Team,#,Top 25,2024,NL
Base on Balls,Kyle Schwarber,Philadelphia,105,Top 25,2024,NL
Batting Average,Luis Arraez,Miami,.314,Top 25,2024,NL
Doubles,Ezequiel Tovar,Colorado,45,Top 25,2024,NL
Hits,Luis Arraez,Miami,200,Top 25,2024,NL
Home Runs,Shohei Ohtani,Los Angeles,54,Top 25,2024,NL
On Base Percentage,Shohei Ohtani,Los Angeles,.390,Top 25,2024,NL
RBI,Shohei Ohtani,Los Angeles,130,Top 25,2024,NL
Runs,Shohei Ohtani,Los Angeles,134,Top 25,2024,NL
Slugging Average,Shohei Ohtani,Los Angeles,.646,Top 25,2024,NL
Stolen Bases,Elly De La Cruz,Cincinnati,67,Top 25,2024,NL
Total Bases,Shohei Ohtani,Los Angeles,411,Top 25,2024,NL
Triples,Corbin Carroll,Arizona,14,Top 25,2024,NL
Statistic,Name,Team,#,Top 25,2024,NL
