Statistic,Name,Team,Value,Year,League
Base on Balls,J.P. Crawford,Seattle Mariners,94.0,2023,AL
Batting Average,Yandy Díaz,Tampa Bay Rays,0.33,2023,AL
Doubles,Corey Seager,Texas Rangers,42.0,2023,AL
Hits,Marcus Semien,Texas Rangers,185.0,2023,AL
Home Runs,Shohei Ohtani,Los Angeles Angels,44.0,2023,AL
On Base Percentage,Shohei Ohtani,Los Angeles Angels,0.412,2023,AL
RBI,Kyle Tucker,Houston Astros,112.0,2023,AL
Runs,Marcus Semien,Texas Rangers,122.0,2023,AL
Slugging Average,Shohei Ohtani,Los Angeles Angels,0.654,2023,AL
Stolen Bases,Esteury Ruiz,Oakland Athletics,67.0,2023,AL
Total Bases,Shohei Ohtani,Los Angeles Angels,325.0,2023,AL
Triples,Bobby Witt Jr.,Kansas City Royals,11.0,2023,AL
