Statistic,Name,Team,Value,Year,League
Base on Balls,Juan Soto,San Diego Padres,132.0,2023,NL
Batting Average,Luis Arraez,Miami Marlins,0.354,2023,NL
Doubles,Freddie Freeman,Los Angeles Dodgers,59.0,2023,NL
Hits,Ronald Acuña Jr.,Atlanta Braves,217.0,2023,NL
Home Runs,Matt Olson,Atlanta Braves,54.0,2023,NL
On Base Percentage,Ronald Acuña Jr.,Atlanta Braves,0.416,2023,NL
RBI,Matt Olson,Atlanta Braves,139.0,2023,NL
Runs,Ronald Acuña Jr.,Atlanta Braves,149.0,2023,NL
Slugging Average,Matt Olson,Atlanta Braves,0.604,2023,NL
Stolen Bases,Ronald Acuña Jr.,Atlanta Braves,73.0,2023,NL
Total Bases,Ronald Acuña Jr.,Atlanta Braves,383.0,2023,NL
Triples,Corbin Carroll,Arizona Diamondbacks,10.0,2023,NL
