Statistic,Name,Team,#,Top 25,Year,League
Statistic,Name,Team,#,Top 25,2023,AL
Complete Games,Jordan Lyles,Kansas City Royals,3,Top 25,2023,AL
ERA,Gerrit Cole,New York Yankees,2.63,Top 25,2023,AL
Games,Matt Brash,Seattle Mariners,78,Top 25,2023,AL
Saves,Emmanuel Clase,Cleveland Guardians,44,Top 25,2023,AL
Shutouts,Gerrit Cole,New York Yankees,2,Top 25,2023,AL
Strikeouts,Kevin Gausman,Toronto Blue Jays,237,Top 25,2023,AL
Winning Percentage,Gerrit Cole,New York Yankees,.789,Top 25,2023,AL
Wins,Chris Bassitt,Toronto Blue Jays,16,Top 25,2023,AL
Statistic,Name,Team,#,Top 25,2023,AL
