Statistic,Name,Team,#,Top 25,Year,League
Statistic,Name,Team,#,Top 25,2024,NL
Complete Games,Max Fried,Atlanta,2,Top 25,2024,NL
ERA,Chris Sale,Atlanta,2.38,Top 25,2024,NL
Games,Tyler Rogers,San Francisco,77,Top 25,2024,NL
Saves,Ryan Helsley,St. Louis,49,Top 25,2024,NL
Shutouts,Dylan Cease,San Diego,1,Top 25,2024,NL
Strikeouts,Chris Sale,Atlanta,225,Top 25,2024,NL
Winning Percentage,Chris Sale,Atlanta,.857,Top 25,2024,NL
Wins,Chris Sale,Atlanta,18,Top 25,2024,NL
Statistic,Name,Team,#,Top 25,2024,NL
